timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1743651300000,83547.17,83603.39,83460.9,83464.76,47.75016,1743651599999,3989352.2785447,7755,17.54712,1466069.0166443,0
1743651600000,83464.76,83480.0,83349.65,83408.98,65.82762,1743651899999,5490215.8676548,6721,28.33483,2363111.4210811,0
1743651900000,83408.99,83495.09,83408.98,83462.0,30.56067,1743652199999,2550312.5491247,5305,18.55085,1547999.6675817,0
1743652200000,83462.01,83536.0,83433.53,83524.14,39.50919,1743652499999,3297965.7507808,7190,20.65093,1723728.8588092,0
1743652500000,83524.14,83584.88,83469.23,83483.97,60.73637,1743652799999,5073752.2897555,6806,22.30468,1863127.7286536,0
1743652800000,83483.97,83550.85,83416.8,83416.81,52.72841,1743653099999,4403312.0292461,8190,16.20978,1353554.1612975,0
1743653100000,83416.81,83462.2,83356.12,83459.99,36.37666,1743653399999,3033336.601462,7639,13.71347,1143588.9862642,0
1743653400000,83460.0,83561.87,83429.09,83429.1,55.37758,1743653699999,4623649.2030217,8955,22.55125,1882736.5860395,0
1743653700000,83429.1,83452.34,83328.55,83341.32,79.02654,1743653999999,6590014.2499001,5421,10.08308,840768.7594994,0
1743654000000,83341.32,83349.99,83263.05,83349.98,53.30786,1743654299999,4441799.7056467,6523,28.53605,2377690.8461325,0
1743654300000,83349.98,83413.31,83309.25,83323.27,32.24727,1743654599999,2687871.779252,6996,18.10071,1508726.4555779,0
1743654600000,83323.28,83528.48,83276.41,83528.47,60.15904,1743654899999,5016890.9189451,9581,30.8496,2573578.9646259,0
1743654900000,83528.47,83559.58,83489.56,83516.48,91.0965,1743655199999,7608241.3038578,7752,25.76367,2151960.9729352,0
1743655200000,83516.48,83735.85,83489.84,83704.47,72.86759,1743655499999,6095923.7755547,9202,45.1276,3775059.5766784,0
1743655500000,83704.48,83704.48,83549.64,83571.6,42.89568,1743655799999,3586716.8153887,8657,18.15654,1518001.322862,0
1743655800000,83571.6,83619.16,83540.42,83587.99,28.21877,1743656099999,2358853.2853866,6700,17.5926,1470616.6446746,0
1743656100000,83588.0,83631.92,83553.92,83558.8,26.25076,1743656399999,2194368.3554624,5050,15.63663,1307111.9536357,0
1743656400000,83558.81,83652.14,83550.0,83599.75,47.22311,1743656699999,3947874.239195,9315,27.18236,2272281.9537147,0
1743656700000,83599.75,83709.48,83594.34,83678.76,48.78447,1743656999999,4081516.2811854,8916,25.81547,2159741.7045732,0
1743657000000,83678.75,83679.88,83601.48,83609.77,22.24261,1743657299999,1860103.5751348,6824,7.1185,595319.6558999,0
1743657300000,83609.77,83650.0,83552.56,83552.57,28.13731,1743657599999,2352026.5883227,8240,9.43333,788565.5477846,0
1743657600000,83552.56,83581.96,83471.0,83480.13,43.1928,1743657899999,3608423.1995667,6950,26.79725,2238691.9580425,0
1743657900000,83480.14,83559.35,83450.0,83503.8,28.15773,1743658199999,2351386.2985864,7549,13.71198,1144917.5043895,0
1743658200000,83503.81,83503.81,83368.92,83368.93,40.77998,1743658499999,3401925.8201725,6774,13.56133,1131285.496436,0
1743658500000,83368.92,83420.0,83348.26,83419.99,34.99501,1743658799999,2917651.4236203,3744,20.85595,1738732.7003367,0
1743658800000,83419.99,83509.66,83419.99,83509.65,61.6602,1743659099999,5145824.9154565,6286,25.9066,2161927.9213285,0
1743659100000,83509.66,83526.86,83405.66,83436.27,34.27105,1743659399999,2860434.030245,7588,11.67687,974552.6953584,0
1743659400000,83436.27,83475.97,83405.66,83405.66,20.11292,1743659699999,1678205.8430502,5573,8.30699,693102.6771823,0
1743659700000,83405.66,83440.73,83343.74,83343.75,48.03778,1743659999999,4006133.9303444,6142,15.09233,1258725.4753545,0
1743660000000,83343.75,83415.47,83300.0,83407.2,38.80569,1743660299999,3234298.292461,7542,15.57345,1298097.4802484,0
1743660300000,83407.21,83407.22,83333.26,83362.55,31.75588,1743660599999,2647680.7773872,7078,19.57092,1631717.4664119,0
1743660600000,83362.55,83362.57,83302.06,83337.48,32.66508,1743660899999,2722032.3625873,4980,16.06128,1338419.9349415,0
1743660900000,83337.48,83344.58,83207.01,83272.21,40.3635,1743661199999,3361342.825233,6927,19.35329,1611667.4766953,0
